MEA-32 electrode tested on 3/15/2012 at 3:16:13 PM
77% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	0.040	-47.5	
2	0.050	-31.4	
3	0.108	-25.0	
4	0.013	-46.0	
6	0.557	-45.3	
6	0.211	-24.6	
7	1.078	-39.6	
8	1.654	-79.5	
9	1.714	-78.6	
10	0.008	-28.1	
11	0.177	-63.6	
12	0.250	-25.0	
13	1.443	-75.9	
14	1.824	-80.2	
15	1.058	-48.0	
16	0.347	-50.8	
17			
18	1.202	-78.6	
19	0.941	-66.3	
20	0.466	-58.8	
21	1.121	-41.4	
22	0.570	-44.7	
23	1.990	-81.1	
24	0.048	-41.5	
25	0.377	-47.7	
26	0.635	-28.0	
27	0.353	-19.8	
28	0.740	-58.6	
29	0.273	-20.6	
30	1.492	-57.4	
31	1.001	-48.4	
32	0.204	-23.9	
Average	0.896±0.563	-51.0±20.8	
